Data Supplied By: National Livestock Reporting Service,,,,,,,,,
Data source: National Livestock Reporting Service,,,,,,,,,
,,,,,,,,,
Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/,,,,,,,,,
,,,,,,,,,
Quarterly,State,Saleyard,Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head,Price c/kg Lwt
31/03/2000 0:00,NSW,Armidale,Yearling Heifer,200-280,Processor,C,2,182,129.39
31/03/2000 0:00,NSW,Armidale,Yearling Heifer,200-280,Processor,C,3,35,128.86
31/03/2000 0:00,NSW,Armidale,Yearling Heifer,200-280,Processor,D,2,89,117.47
31/03/2000 0:00,NSW,Armidale,Yearling Heifer,280-330,Processor,C,2,309,129.01
31/03/2000 0:00,NSW,Armidale,Yearling Heifer,280-330,Processor,C,3,319,128.56
31/03/2000 0:00,NSW,Armidale,Yearling Heifer,280-330,Processor,C,4,21,119.5
31/03/2000 0:00,NSW,Armidale,Yearling Heifer,280-330,Processor,D,2,77,118.05
31/03/2000 0:00,NSW,Armidale,Yearling Heifer,280-330,Restocker,C,2,45,129.01
31/03/2000 0:00,NSW,Armidale,Yearling Heifer,280-330,Restocker,C,3,11,129.2
31/03/2000 0:00,NSW,Armidale,Yearling Heifer,280-330,Restocker,D,2,14,123.8
31/03/2000 0:00,NSW,Armidale,Yearling Heifer,330-400,Processor,C,2,312,124.81
31/03/2000 0:00,NSW,Armidale,Yearling Heifer,330-400,Processor,C,3,343,129.28
31/03/2000 0:00,NSW,Armidale,Yearling Heifer,330-400,Processor,C,4,81,121.06
31/03/2000 0:00,NSW,Armidale,Yearling Heifer,330-400,Processor,D,2,46,117
31/03/2000 0:00,NSW,Armidale,Yearling Heifer,330-400,Restocker,C,2,44,122.51
31/03/2000 0:00,NSW,Armidale,Yearling Heifer,330-400,Restocker,C,3,63,123.56
31/03/2000 0:00,NSW,Armidale,Yearling Heifer,400+,Processor,B,3,5,122.68
31/03/2000 0:00,NSW,Armidale,Yearling Heifer,400+,Processor,C,3,76,123.27
31/03/2000 0:00,NSW,Armidale,Yearling Heifer,400+,Processor,C,4,36,123.37
31/03/2000 0:00,NSW,Armidale,Yearling Steer,200-280,Processor,D,2,11,139.8
31/03/2000 0:00,NSW,Armidale,Yearling Steer,200-280,Restocker,C,2,63,143.01
31/03/2000 0:00,NSW,Armidale,Yearling Steer,200-280,Restocker,D,2,20,132.88
31/03/2000 0:00,NSW,Armidale,Yearling Steer,280-330,Processor,C,3,2,132.2
31/03/2000 0:00,NSW,Armidale,Yearling Steer,280-330,Processor,D,2,3,132.6
31/03/2000 0:00,NSW,Armidale,Yearling Steer,280-330,Restocker,C,2,213,142.17
31/03/2000 0:00,NSW,Armidale,Yearling Steer,280-330,Restocker,C,3,28,132.77
31/03/2000 0:00,NSW,Armidale,Yearling Steer,280-330,Restocker,D,2,48,123.42
31/03/2000 0:00,NSW,Armidale,Yearling Steer,330-400,Processor,C,2,3,134.53
31/03/2000 0:00,NSW,Armidale,Yearling Steer,330-400,Processor,C,3,49,134.62
31/03/2000 0:00,NSW,Armidale,Yearling Steer,330-400,Processor,D,2,5,125.2
31/03/2000 0:00,NSW,Armidale,Yearling Steer,330-400,Processor,D,3,11,129.2
